Região Habilitação Atual;UF Habilitação Atual;Sexo;Faixa Etária;Categoria;Qt. Condutor Histórico
Centro-Oeste;Distrito Federal;Masculino;18 a 21;A-Condutor Moto;102
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AB-Condutor Moto/Carro;9927
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AC-Condutor Moto/Caminhão;6
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AD-Condutor Moto/Ônibus;29
Centro-Oeste;Distrito Federal;Masculino;18 a 21;B-Condutor Carro;15115
Centro-Oeste;Distrito Federal;Masculino;18 a 21;C-Condutor Caminhão;7
Centro-Oeste;Distrito Federal;Masculino;18 a 21;D-Condutor Ônibus;10
Centro-Oeste;Distrito Federal;Masculino;18 a 21;E-Condutor Carreta;1
Centro-Oeste;Distrito Federal;Masculino;22 a 25;A-Condutor Moto;456
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AB-Condutor Moto/Carro;24033
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AC-Condutor Moto/Caminhão;25
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AD-Condutor Moto/Ônibus;1120
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AE-Condutor Moto/Carreta;68
Centro-Oeste;Distrito Federal;Masculino;22 a 25;B-Condutor Carro;33708
Centro-Oeste;Distrito Federal;Masculino;22 a 25;C-Condutor Caminhão;16
Centro-Oeste;Distrito Federal;Masculino;22 a 25;D-Condutor Ônibus;397
Centro-Oeste;Distrito Federal;Masculino;22 a 25;E-Condutor Carreta;22
Centro-Oeste;Distrito Federal;Masculino;26 a 30;A-Condutor Moto;1024
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AB-Condutor Moto/Carro;40195
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AC-Condutor Moto/Caminhão;31
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AD-Condutor Moto/Ônibus;4417
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AE-Condutor Moto/Carreta;560
Centro-Oeste;Distrito Federal;Masculino;26 a 30;B-Condutor Carro;51349
Centro-Oeste;Distrito Federal;Masculino;26 a 30;C-Condutor Caminhão;12
Centro-Oeste;Distrito Federal;Masculino;26 a 30;D-Condutor Ônibus;1698
Centro-Oeste;Distrito Federal;Masculino;26 a 30;E-Condutor Carreta;124
Centro-Oeste;Distrito Federal;Masculino;31 a 40;A-Condutor Moto;2430
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AB-Condutor Moto/Carro;91095
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AC-Condutor Moto/Caminhão;152
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AD-Condutor Moto/Ônibus;21411
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AE-Condutor Moto/Carreta;3940
Centro-Oeste;Distrito Federal;Masculino;31 a 40;B-Condutor Carro;113631
